obra;grupo;material_normalizado;material;unidade;data;quantidade;valor_unitario;valor_total;ano
BRANDÃO E COSTA ADOGADOS - AC06825;DUTOS;ACESSÓRIOS PARA REDE DE DUTOS (CANTONEIRAS, COLA, REBITES, BRAÇADEIRAS PLÁSTICAS, COLARINHO, MASSA DE VEDAÇÃO, FITASAA ADESIVAS, ETC).;ACESSÓRIOS PARA REDE DE  DUTOS (CANTONEIRAS, COLA, REBITES, BRAÇADEIRAS PLÁSTICAS, COLARINHO, MASSA DE VEDAÇÃO, FITASAA ADESIVAS, ETC).;PÇS;05/11/2025;4.0;10.0;40.0;2025
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;DUTO;CABO DE COMUNICAÇÃO 3 X 18AWG;Cabo de Comunicação 3 x 18AWG;;23/03/2026;100.0;8.15;815.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;DUTO;CABO FLEXIVEL;Cabo Flexivel;;23/03/2026;1.0;1535.0;1535.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;DUTO;CABO ÉLETRICO 1,5MM²;CABO ÉLETRICO 1,5mm²;M;23/03/2026;760.0;1.3;2508.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;DUTO;ELETRODUTO CINZA;Eletroduto Cinza;;23/03/2026;1.0;300.0;300.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;DUTO;"MANGUEIRA ELETRODUTO CORRUGADA 3/4""";"MANGUEIRA ELETRODUTO CORRUGADA 3/4""";M;23/03/2026;380.0;1.6;1368.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;DUTOS;QUADRO DE COMANDO PARA SLITÃO 25TR;QUADRO DE COMANDO PARA SLITÃO 25TR;VB;23/03/2026;8.0;500.0;8000.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;COBRES;Cobres;;23/03/2026;1.0;23633.4;23633.4;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;COLA PARA ESPUMA ELASTOMÉRICA. REF:ARMACELL ARMAFLEX 520 S 0,9 L;COLA PARA ESPUMA ELASTOMÉRICA. REF:ARMACELL  ARMAFLEX 520 S 0,9 L;LITROS;23/03/2026;2.0;110.0;220.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;CONEXÕES DE COBRE. REF:;CONEXÕES DE COBRE. REF:;VB;23/03/2026;4.0;650.0;2600.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;CONJUNTO DE CALÇO DE BORRACHA OU SUPORTE TIPO MÃO FRANCESA;CONJUNTO DE CALÇO DE BORRACHA OU SUPORTE TIPO MÃO FRANCESA;CJ;23/03/2026;28.0;80.0;2320.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;CURVA DE COIBRE;Curva de coibre;;23/03/2026;6.0;151.0;906.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;CURVAS DE COBRE;Curvas de Cobre;;23/03/2026;16.0;64.8;1036.8;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;FITA PRATA PARA JUNÇÃO DO ISOLAMENTO EM POLIETILENO;FITA PRATA PARA JUNÇÃO DO ISOLAMENTO EM POLIETILENO;UN;23/03/2026;48.0;5.0;240.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;GÁS ACETILENO;GÁS ACETILENO;UNID.;23/03/2026;5.0;200.0;1000.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;GÁS NITROGÊNIO;GÁS NITROGÊNIO;UNID.;23/03/2026;6.0;210.0;1260.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;GÁS OXIGENIO;GÁS OXIGENIO;UNID.;23/03/2026;5.0;130.0;650.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 1.1/8""";"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  1.1/8""";M;23/03/2026;268.0;14.415;4187.6;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 5/8""";"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  5/8""";M;23/03/2026;268.0;9.07;2512.8;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;"ISOLAMENTO EM TUBO DE POLIETILENO BLINDADO INVERTER, PARA TUBULAÇÃO DE 3/4""";"ISOLAMENTO EM TUBO DE POLIETILENO BLINDADO INVERTER, PARA TUBULAÇÃO DE 3/4""";M;23/03/2026;26.0;13.0;338.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;"ISOLAMENTO EM TUBO DE POLIETILENO BLINDADO INVERTER, PARA TUBULAÇÃO DE 3/8""";"ISOLAMENTO EM TUBO DE POLIETILENO BLINDADO INVERTER, PARA TUBULAÇÃO DE  3/8""";M;23/03/2026;234.0;10.0;2340.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;"ISOLAMENTO EM TUBO DE POLIETILENO BLINDADO INVERTER, PARA TUBULAÇÃO DE 7/8""";"ISOLAMENTO EM TUBO DE POLIETILENO BLINDADO INVERTER, PARA TUBULAÇÃO DE 7/8""";M;23/03/2026;222.0;22.0;4884.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;MATERIAIS DIVERSOS (SUPORTE, FIXAÇÃO, PARAFUSOS, PORCAS, ARRUELAS, FITAS, ETC.);MATERIAIS DIVERSOS (SUPORTE, FIXAÇÃO, PARAFUSOS, PORCAS, ARRUELAS, FITAS, ETC.);CJ;23/03/2026;414.0;10.0;8280.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;PROTEÇÃO MECÂNICA EM PLATISCO HOSPITALAR BRANCO LISO 0,10MMX50M (10CM);PROTEÇÃO MECÂNICA EM PLATISCO HOSPITALAR BRANCO LISO 0,10MMX50M (10CM);PÇ;23/03/2026;10.0;30.0;300.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/8"" (120M)";"TUBO DE COBRE DIÂMETRO 1.1/8"" (120m)";KG;23/03/2026;170.0;115.0;19550.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 3/4"" (10M)";"TUBO DE COBRE DIÂMETRO 3/4"" (10m)";KG;23/03/2026;14.0;90.0;1260.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 3/8"" (190M)";"TUBO DE COBRE DIÂMETRO 3/8"" (190m)";KG;23/03/2026;84.0;90.0;7560.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 5/8"" (120M)";"TUBO DE COBRE DIÂMETRO 5/8"" (120m)";KG;23/03/2026;92.0;90.0;8280.0;2026
CASSOL CENTERLAR CAMPINAS  PRAÇA E FRENTE DE CAIXA - AC15325;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 7/8"" (180M)";"TUBO DE COBRE DIÂMETRO 7/8"" (180m)";KG;23/03/2026;178.0;115.0;20470.0;2026
CASSOL CENTERLAR CAMPINAS - AC11725;DUTO;CABO ÉLETRICO 1,5MM²;CABO ÉLETRICO 1,5mm²;M;08/12/2025;50.0;1.3;165.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTO;DIFUSOR DE LONGO ALCANCE, DIAMETRO 250MM, VAZÃO: 1088M3/H. REF.: TRIAR DUE 250.;DIFUSOR DE LONGO ALCANCE, DIAMETRO 250MM, VAZÃO: 1088M3/H. REF.: TRIAR DUE 250.;UNID.;08/12/2025;255.0;448.23566666666665;114300.095;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTO;"MANGUEIRA ELETRODUTO CORRUGADA 3/4""";"MANGUEIRA ELETRODUTO CORRUGADA 3/4""";M;08/12/2025;25.0;1.6;90.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTO;MANGUEIRA ELETRODUTO CORRUGADO 3/4;MANGUEIRA ELETRODUTO CORRUGADO 3/4;M;08/12/2025;2616.0;1.515666666666667;5634.2;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTO;PARAFUSO;parafuso;;08/12/2025;1.0;102.0;102.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTO;"PERFIL EM ALUMINIO PARA DUTO MPU, TIPO ""F"" 20MM (BARRA COM 3M)";"PERFIL EM ALUMINIO PARA DUTO MPU, TIPO ""F"" 20MM (BARRA COM 3M)";M;08/12/2025;63.0;25.0;1575.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTO;PLATAFORMA;Plataforma;vb;08/12/2025;1.0;4483.86;4483.86;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTO;SERVIÇOS DE START DA AUTOMAÇÃO DO FABRICANTE;Serviços de start da automação do Fabricante;Vb;08/12/2025;5.0;900.0;12400.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTOS;"ABRAÇADEIRA GOTA 5""";"Abraçadeira Gota 5""";pç;08/12/2025;125.0;2.29;286.25;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTOS;ADESIVO DE CONTATO PARA PAINEL MPU (LATA 2,8KG);ADESIVO DE CONTATO PARA PAINEL MPU (LATA 2,8KG);LATA;08/12/2025;6.0;175.0;1050.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTOS;CHAPA DE MPU 20MM. REF.:MULTIVAC MPU.;CHAPA DE MPU 20MM. REF.:MULTIVAC MPU.;M²;08/12/2025;186.0;76.0;33356.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTOS;FITA DE ALUMINIO PARA ACABAMENTO EM DUTOS MPU 50MMX 50M (2,5M² POR ROLO);FITA DE ALUMINIO PARA ACABAMENTO EM DUTOS MPU 50MMx 50M (2,5M² POR ROLO);ROLO;08/12/2025;15.0;55.0;825.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTOS;FITA DUPLA FACE;Fita Dupla Face;;08/12/2025;1.0;57.0;57.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTOS;PERFILADO 19 X 38 #16;Perfilado 19 x 38 #16;pç;08/12/2025;30.0;33.0;990.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTOS;QUADRO DE COMANDO PARA SLITÃO 25TR;QUADRO DE COMANDO PARA SLITÃO 25TR;VB;08/12/2025;4.0;10.0;40.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTOS;SERVIÇOS DE START DA AUTOMAÇÃO DO FABRICANTE;Serviços de start da automação do Fabricante;Vb;08/12/2025;1.0;1500.0;4000.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;DUTOS;SUPORTES DA REDE DE DUTOS EM PAINEL MPU (CHUMBADOR, PORCA, ARRUELA, BARRA ROSCADA, FERRO CHATO).;SUPORTES DA REDE DE DUTOS EM PAINEL MPU (CHUMBADOR, PORCA, ARRUELA, BARRA ROSCADA, FERRO CHATO).;VB;08/12/2025;69.0;10.0;1380.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;COLA PARA ESPUMA ELASTOMÉRICA. REF:ARMACELL ARMAFLEX 520 S 0,9 L;COLA PARA ESPUMA ELASTOMÉRICA. REF:ARMACELL  ARMAFLEX 520 S 0,9 L;LITROS;08/12/2025;21.0;110.0;2310.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;CONEXÃO COBRE;Conexão Cobre;;08/12/2025;1.0;5435.05;5435.05;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;CONEXÕES DE COBRE. REF:;CONEXÕES DE COBRE. REF:;VB;08/12/2025;13.0;538.4615384615385;8000.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;CONJUNTO DE CALÇO DE BORRACHA OU SUPORTE TIPO MÃO FRANCESA;CONJUNTO DE CALÇO DE BORRACHA OU SUPORTE TIPO MÃO FRANCESA;CJ;08/12/2025;40.0;80.0;3600.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;FITA PRATA PARA JUNÇÃO DO ISOLAMENTO EM POLIETILENO;FITA PRATA PARA JUNÇÃO DO ISOLAMENTO EM POLIETILENO;UN;08/12/2025;4.0;5.0;20.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;GÁS ACETILENO;GÁS ACETILENO;UNID.;08/12/2025;29.0;200.0;5800.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;GÁS NITROGÊNIO;GÁS NITROGÊNIO;UNID.;08/12/2025;40.0;210.0;8400.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;GÁS OXIGENIO;GÁS OXIGENIO;UNID.;08/12/2025;29.0;130.0;3770.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 1""";"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  1""";M;08/12/2025;425.41999999999996;23.0;9784.66;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 1.1/2""";"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  1.1/2""";M;08/12/2025;190.31;30.0;5709.299999999999;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 1.1/4""";"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  1.1/4""";M;08/12/2025;113.22500000000001;29.0;3283.525;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 1.1/8""";"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  1.1/8""";M;08/12/2025;518.03;26.0;13468.78;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 1.3/4""";"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  1.3/4""";M;08/12/2025;589.1;40.0;23564.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 1/2""";"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  1/2""";M;08/12/2025;659.595;11.0;7255.545;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 2""";"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  2""";M;08/12/2025;114.0;44.0;5016.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 2""";"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 2""";M;08/12/2025;260.82;44.0;11476.079999999998;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 3/4""";"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  3/4""";M;08/12/2025;228.49;13.0;2970.37;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 3/8""";"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  3/8""";M;08/12/2025;716.776;10.0;7167.76;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 5/8""";"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  5/8""";M;08/12/2025;1107.956;12.0;13295.472;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 7/8""";"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  7/8""";M;08/12/2025;1211.79;22.0;26659.38;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"ISOLAMENTO EM TUBO DE POLIETILENO BLINDADO INVERTER, PARA TUBULAÇÃO DE 3/8""";"ISOLAMENTO EM TUBO DE POLIETILENO BLINDADO INVERTER, PARA TUBULAÇÃO DE  3/8""";M;08/12/2025;32.0;10.0;320.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"ISOLAMENTO EM TUBO DE POLIETILENO BLINDADO INVERTER, PARA TUBULAÇÃO DE 7/8""";"ISOLAMENTO EM TUBO DE POLIETILENO BLINDADO INVERTER, PARA TUBULAÇÃO DE 7/8""";M;08/12/2025;32.0;22.0;704.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;MATERIAIS DIVERSOS (SUPORTE, FIXAÇÃO, PARAFUSOS, PORCAS, ARRUELAS, FITAS, ETC.);MATERIAIS DIVERSOS (SUPORTE, FIXAÇÃO, PARAFUSOS, PORCAS, ARRUELAS, FITAS, ETC.);CJ;08/12/2025;1746.0;12.333333333333334;38810.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;PROTEÇÃO MECÂNICA EM PLATISCO HOSPITALAR BRANCO LISO 0,10MMX50M (10CM);PROTEÇÃO MECÂNICA EM PLATISCO HOSPITALAR BRANCO LISO 0,10MMX50M (10CM);PÇ;08/12/2025;27.0;30.0;810.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1"" (20M)";"TUBO DE COBRE DIÂMETRO 1"" (20m)";KG;08/12/2025;73.14000000000001;115.0;8411.1;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1"" (25M)";"TUBO DE COBRE DIÂMETRO 1"" (25m)";KG;08/12/2025;111.0;115.0;12765.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1"" (70M)";"TUBO DE COBRE DIÂMETRO 1"" (70m)";KG;08/12/2025;170.66;115.0;19625.899999999998;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/2"" (10M)";"TUBO DE COBRE DIÂMETRO 1.1/2"" (10m)";KG;08/12/2025;37.260000000000005;115.0;4284.900000000001;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/2"" (12M)";"TUBO DE COBRE DIÂMETRO 1.1/2"" (12m)";KG;08/12/2025;67.068;115.0;7712.819999999999;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/2"" (15M)";"TUBO DE COBRE DIÂMETRO 1.1/2"" (15m)";KG;08/12/2025;114.0;115.0;13110.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/2"" (6M)";"TUBO DE COBRE DIÂMETRO 1.1/2"" (6m)";KG;08/12/2025;12.0;115.0;1380.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/2"" (9M)";"TUBO DE COBRE DIÂMETRO 1.1/2"" (9m)";KG;08/12/2025;51.0;115.0;5865.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/4"" (10M)";"TUBO DE COBRE DIÂMETRO 1.1/4"" (10m)";KG;08/12/2025;16.0;115.0;1840.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/4"" (16M)";"TUBO DE COBRE DIÂMETRO 1.1/4"" (16m)";KG;08/12/2025;15.0;115.0;1725.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/4"" (1M)";"TUBO DE COBRE DIÂMETRO 1.1/4"" (1m)";KG;08/12/2025;6.0;115.0;690.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/4"" (28M)";"TUBO DE COBRE DIÂMETRO 1.1/4"" (28m)";KG;08/12/2025;129.44400000000002;115.0;14886.060000000001;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/4"" (3M)";"TUBO DE COBRE DIÂMETRO 1.1/4"" (3m)";KG;08/12/2025;9.246;115.0;1063.29;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/8"" (120M)";"TUBO DE COBRE DIÂMETRO 1.1/8"" (120m)";KG;08/12/2025;85.0;115.0;9775.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/8"" (12M)";"TUBO DE COBRE DIÂMETRO 1.1/8"" (12m)";KG;08/12/2025;17.0;115.0;1955.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/8"" (25M)";"TUBO DE COBRE DIÂMETRO 1.1/8"" (25m)";KG;08/12/2025;108.0;115.0;12420.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/8"" (33M)";"TUBO DE COBRE DIÂMETRO 1.1/8"" (33m)";KG;08/12/2025;138.0;115.0;15870.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.1/8"" (34M)";"TUBO DE COBRE DIÂMETRO 1.1/8"" (34m)";KG;08/12/2025;93.83999999999999;115.0;10791.599999999999;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.3/4"" (100M)";"TUBO DE COBRE DIÂMETRO 1.3/4"" (100m)";KG;08/12/2025;454.29999999999995;115.0;52244.49999999999;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.3/4"" (110M)";"TUBO DE COBRE DIÂMETRO 1.3/4"" (110m)";KG;08/12/2025;242.0;115.0;27830.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.3/4"" (3M)";"TUBO DE COBRE DIÂMETRO 1.3/4"" (3m)";KG;08/12/2025;27.0;115.0;3105.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1.3/4"" (50M)";"TUBO DE COBRE DIÂMETRO 1.3/4"" (50m)";KG;08/12/2025;330.0;115.0;37950.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1/2"" (101M)";"TUBO DE COBRE DIÂMETRO 1/2"" (101m)";KG;08/12/2025;69.0;115.0;7935.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1/2"" (20M)";"TUBO DE COBRE DIÂMETRO 1/2"" (20m)";KG;08/12/2025;18.147;115.0;2086.9049999999997;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1/2"" (21M)";"TUBO DE COBRE DIÂMETRO 1/2"" (21m)";KG;08/12/2025;19.05435;115.0;2191.25025;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1/2"" (2M)";"TUBO DE COBRE DIÂMETRO 1/2"" (2m)";KG;08/12/2025;1.0;115.0;115.0;2025
CASSOL CENTERLAR CAMPINAS - AC11725;REDE FRIGORIGENA;"TUBO DE COBRE DIÂMETRO 1/2"" (60M)";"TUBO DE COBRE DIÂMETRO 1/2"" (60m)";KG;08/12/2025;57.0;115.0;6555.0;2025
