Material;Grupo;UnidadeMedida;SomaQuantidade;SomaValorTotal;MenorPreco;MaiorPreco;Amostras;PrecoMedio;UltimoPreco;UltimaData
"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  5/8""";REDE FRIGORIGENA;M;275.0;3300.0;12.0;12.0;2;12.0;12.0;23/03/2026
"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE  7/8""";REDE FRIGORIGENA;M;200.0;4400.0;22.0;22.0;1;22.0;22.0;23/03/2026
"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 1.5/8""";REDE FRIGORIGENA;M;235.0;8460.0;36.0;36.0;2;36.0;36.0;23/03/2026
"ISOLAMENTO EM BORRACHA ELASTOMÉRICA COM ESPESSURA 19MM (M) PARA TUBO DE COBRE DE 1/4""";REDE FRIGORIGENA;M;8.0;80.0;10.0;10.0;1;10.0;10.0;23/03/2026
"ISOLAMENTO EM TUBO DE POLIETILENO BLINDADO INVERTER, PARA TUBULAÇÃO DE  3/8""";REDE FRIGORIGENA;M;105.0;168.0;1.6;1.6;1;1.6;1.6;23/03/2026
"ISOLAMENTO EM TUBO DE POLIETILENO BLINDADO INVERTER, PARA TUBULAÇÃO DE 1/2""";REDE FRIGORIGENA;M;136.0;244.8;1.8;1.8;1;1.8;1.8;23/03/2026
"ISOLAMENTO EM TUBO DE POLIETILENO BLINDADO INVERTER, PARA TUBULAÇÃO DE 1/4""";REDE FRIGORIGENA;M;253.0;379.5;1.5;1.5;1;1.5;1.5;23/03/2026
"ISOLAMENTO EM TUBO DE POLIETILENO BLINDADO INVERTER, PARA TUBULAÇÃO DE 5/8""";REDE FRIGORIGENA;M;13.0;32.5;2.5;2.5;1;2.5;2.5;23/03/2026
MATERIAIS DIVERSOS (SUPORTE, FIXAÇÃO, PARAFUSOS, PORCAS, ARRUELAS, FITAS, ETC.);REDE FRIGORIGENA;CJ;513.0;5130.0;10.0;10.0;3;10.0;10.0;23/03/2026
Material Eletrico Diversos + Painel;DUTO;vb;1.0;4456.0;4456.0;4456.0;1;4456.0;4456.0;23/03/2026
PAINEL PARA IHM;DUTO;VB;1.0;400.0;400.0;400.0;1;400.0;400.0;23/03/2026
PRESILHA PARA ALUMÍNIO CORRUGADO;REDE FRIGORIGENA;UN;50.0;13.414634146341465;0.2682926829268293;0.2682926829268293;1;0.2682926829268293;0.2682926829268293;23/03/2026
PROTEÇÃO MECÂNICA EM ALUMINIO NA PARTE EXTERNA DA EDIFICAÇÃO;REDE FRIGORIGENA;VB;1.0;2000.0;2000.0;2000.0;1;2000.0;2000.0;23/03/2026
PROTEÇÃO MECÂNICA EM PLATISCO HOSPITALAR BRANCO LISO 0,10MMX50M (10CM);REDE FRIGORIGENA;PÇ;9.0;270.0;30.0;30.0;3;30.0;30.0;23/03/2026
Pressostato;DUTO;vb;3.0;630.0;210.0;210.0;1;210.0;210.0;23/03/2026
SENSOR TEMPERATURA AMBIENTE;DUTO;VB;3.0;212.88;70.96;70.96;1;70.96;70.96;23/03/2026
SENSOR TEMPERATURA INSUFLAMENTO;DUTO;VB;3.0;360.0;120.0;120.0;1;120.0;120.0;23/03/2026
Sonda SND;DUTO;vb;3.0;152.73;50.91;50.91;1;50.91;50.91;23/03/2026
"TUBO DE COBRE DIÂMETRO 1.1/2"" (102m)";REDE FRIGORIGENA;KG;191.0;21965.0;115.0;115.0;1;115.0;115.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 1.1/2"" (3m)";REDE FRIGORIGENA;KG;6.0;690.0;115.0;115.0;1;115.0;115.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 1.1/4"" (5m)";REDE FRIGORIGENA;KG;8.0;920.0;115.0;115.0;1;115.0;115.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 1.1/4"" (8m)";REDE FRIGORIGENA;KG;13.0;1495.0;115.0;115.0;1;115.0;115.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 1.1/8"" (82m)";REDE FRIGORIGENA;KG;114.0;13110.0;115.0;115.0;1;115.0;115.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 1.5/8"" (120m)";REDE FRIGORIGENA;KG;243.0;27945.0;115.0;115.0;1;115.0;115.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 1.5/8"" (70m)";REDE FRIGORIGENA;KG;142.0;16330.0;115.0;115.0;1;115.0;115.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 1/2"" (110m)";REDE FRIGORIGENA;KG;34.0;3910.0;115.0;115.0;1;115.0;115.0;23/03/2026
