codigo;produto;ean;ncm;quantidade;un
99001;Tubo Cobre Flexível 1/4";07897994667554;74111010;0,121;kg/m
99002;Tubo Cobre Flexível 3/8";789838831054;7411;0,203;kg/m
99003;Tubo Cobre Flexível 1/2";7893590133509;74111010;0,277;kg/m
99004;Tubo Cobre Flexível 5/8";789838831057;74111010;0,354;kg/m 
